SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
odisha,2012,50.8,3.6,0.9,34.8,21.3,169.6,324.3,417.0,242.4,66.0,72.1,3.1,1405.9
odisha,2013,3.3,7.8,2.1,53.6,57.7,272.6,380.0,254.9,208.1,391.0,1.2,0.0,1632.4
odisha,2014,0.0,17.6,25.1,11.7,111.9,92.2,496.2,386.3,281.1,111.8,2.2,0.9,1536.9
punjab,2000,25.4,26.6,6.9,1.3,15.3,50.1,164.8,70.0,42.0,0.0,0.7,2.2,405.3
punjab,2001,8.0,2.1,6.2,24.5,36.9,93.8,173.9,69.5,19.9,1.5,0.9,3.8,441.0
punjab,2002,2.4,6.6,6.8,3.3,20.8,24.7,50.4,58.4,95.0,2.6,0.0,3.7,274.7
punjab,2003,10.6,56.4,19.4,3.0,3.9,40.7,136.7,94.7,52.2,0.0,2.2,5.0,424.6
punjab,2004,32.4,5.7,0.0,15.5,27.2,48.8,52.1,124.2,8.9,31.2,0.8,5.0,351.7
punjab,2005,35.8,60.3,28.6,8.4,5.2,34.6,176.7,95.3,106.7,0.4,0.0,0.0,552.0
punjab,2006,15.0,3.7,46.1,1.3,32.1,73.0,220.3,90.8,120.7,24.6,13.4,6.7,647.7
punjab,2007,1.2,68.8,48.2,10.0,5.9,64.4,95.1,215.4,73.7,0.6,0.9,10.6,594.8
punjab,2008,12.0,4.1,0.0,19.7,40.6,155.5,101.9,312.2,59.8,9.9,0.6,0.9,717.1
punjab,2009,9.4,14.4,10.5,14.0,5.6,10.6,158.0,76.8,54.7,4.0,2.7,0.4,361.2
punjab,2010,3.8,13.8,1.9,0.7,6.0,41.8,143.8,96.7,112.8,4.7,1.1,24.4,451.5
punjab,2011,3.5,35.6,8.2,17.8,18.9,162.9,120.9,193.5,140.2,0.0,1.0,2.6,705.2
punjab,2012,62.6,3.2,1.9,31.1,1.6,11.9,120.2,135.1,112.3,2.2,0.4,11.0,493.6
punjab,2013,9.3,50.1,11.6,3.4,3.6,120.3,117.9,217.1,24.4,16.2,6.1,6.6,586.6
punjab,2014,21.8,20.1,30.3,24.5,20.8,20.6,76.3,41.9,105.8,6.0,0.7,14.1,382.7
sikkim,2000,10.7,36.2,55.1,185.1,326.5,649.6,574.3,498.1,465.8,82.9,22.6,1.2,2908.0
sikkim,2001,4.0,20.5,50.2,134.8,347.2,472.2,399.0,424.5,434.9,282.8,36.6,5.9,2612.6
sikkim,2002,30.1,10.0,95.6,237.1,181.7,407.2,743.3,406.6,340.1,75.7,8.7,10.8,2547.0
sikkim,2003,17.0,79.2,90.1,171.4,211.7,516.6,703.0,354.0,321.4,223.0,16.4,19.2,2723.3
sikkim,2004,19.9,11.5,40.5,163.5,287.5,489.5,739.5,356.4,394.7,198.4,9.0,4.4,2714.7
sikkim,2005,19.5,21.0,132.1,155.5,254.0,446.5,704.3,564.5,229.9,271.1,8.8,0.5,2807.7
sikkim,2006,0.7,17.0,39.8,119.3,270.5,446.2,470.2,295.0,456.8,118.4,20.3,7.9,2262.1
sikkim,2007,3.1,81.1,46.6,160.1,215.1,485.1,686.3,412.4,458.6,79.5,8.8,2.0,2638.9
sikkim,2008,33.2,22.1,79.8,141.8,171.4,526.5,657.7,636.3,296.7,97.9,16.9,9.5,2689.9
sikkim,2009,6.0,40.3,55.0,115.2,308.7,350.6,456.1,568.4,174.6,235.1,9.1,5.6,2324.6
sikkim,2010,5.6,19.6,77.6,176.6,335.9,558.1,593.4,461.3,308.1,66.2,7.9,2.2,2612.3
sikkim,2011,8.5,19.9,71.2,135.0,247.8,419.8,612.3,470.3,356.3,46.7,26.7,4.3,2418.7
sikkim,2012,15.3,13.9,45.5,159.8,202.4,604.2,684.5,332.7,434.7,119.4,12.5,7.4,2632.2
sikkim,2013,3.0,23.6,32.1,114.7,296.5,404.9,588.4,416.3,308.0,199.8,16.1,2.7,2406.1
sikkim,2014,0.2,26.6,37.7,47.9,308.6,543.2,384.6,563.3,371.5,31.2,5.3,2.4,2322.6
tamil nadu,2000,30.3,74.5,9.4,41.6,54.7,52.2,45.8,136.1,169.8,120.3,148.6,88.9,972.0
tamil nadu,2001,21.8,10.9,13.0,93.8,45.0,39.9,37.2,18.7,53.8,69.5,52.3,27.6,483.4
tamil nadu,2002,2.9,22.1,3.9,9.2,32.6,23.7,11.8,26.5,32.2,93.7,47.2,12.2,318.0
tamil nadu,2003,0.3,4.1,18.0,17.1,19.8,22.5,38.7,49.3,26.1,86.0,59.5,7.1,348.5
tamil nadu,2004,2.8,0.7,3.0,16.2,101.1,21.2,98.6,85.1,208.3,271.1,204.5,25.0,1037.6
tamil nadu,2005,4.1,11.1,24.4,128.0,80.6,35.7,87.9,93.3,117.9,280.5,353.4,148.5,1365.3
tamil nadu,2006,15.3,0.2,52.4,32.6,65.2,57.2,33.6,73.4,116.3,240.4,215.1,26.1,927.9
tamil nadu,2007,7.2,7.5,1.8,58.0,44.9,73.1,101.0,136.5,89.1,248.9,79.2,219.9,1067.2
tamil nadu,2008,11.7,29.1,164.7,31.5,53.7,51.1,73.1,126.5,70.7,242.7,298.5,50.1,1203.4
tamil nadu,2009,7.9,0.0,41.0,41.4,74.8,27.0,42.1,96.9,114.4,62.1,314.7,106.2,928.5
tamil nadu,2010,11.8,0.2,1.9,22.9,91.9,70.0,81.4,102.9,111.1,148.1,328.6,124.5,1095.2
tamil nadu,2011,4.3,11.2,8.0,91.5,33.4,56.0,45.5,128.9,76.0,200.4,230.5,41.0,926.5
tamil nadu,2012,3.0,0.1,2.5,35.5,41.9,30.1,46.5,98.0,84.9,235.2,44.5,14.0,636.1
tamil nadu,2013,3.9,30.9,30.0,20.3,42.0,54.6,42.7,110.7,113.5,127.9,112.3,53.2,741.9
tamil nadu,2014,7.4,6.1,8.1,8.3,139.1,47.8,50.6,117.7,98.9,252.2,110.8,66.0,913.0
telangana,2000,0.6,16.8,1.0,16.3,48.8,253.2,220.9,420.5,70.7,20.2,6.4,2.5,1078.0
telangana,2001,8.5,0.0,21.5,37.3,7.5,183.9,123.8,266.8,119.9,135.6,17.4,0.0,922.3
telangana,2002,18.8,10.1,7.6,7.7,32.0,143.2,91.7,321.7,52.4,76.2,3.9,0.0,765.3
telangana,2003,0.0,10.7,21.9,14.0,7.9,112.6,312.2,266.5,103.2,101.7,7.3,5.3,963.2
telangana,2004,34.4,17.9,9.3,25.9,34.6,64.6,216.7,117.7,110.1,30.6,5.3,0.0,667.0
telangana,2005,43.4,14.1,14.6,23.8,19.7,115.1,400.3,126.9,246.3,136.1,3.9,18.8,1163.1
telangana,2006,0.0,0.0,42.7,38.6,46.1,104.8,169.5,308.2,280.2,28.1,34.7,0.0,1053.0
telangana,2007,0.0,0.0,0.1,0.1,9.2,176.6,134.6,206.6,262.3,40.8,13.0,0.0,843.3
telangana,2008,0.2,18.6,108.6,15.7,4.9,132.9,183.4,391.8,146.7,24.2,7.5,0.8,1035.3
telangana,2009,0.0,0.0,2.1,4.5,13.1,85.8,118.4,192.3,149.7,69.5,29.6,1.2,666.3
telangana,2010,10.3,5.3,1.5,5.6,24.9,127.0,395.5,308.1,249.8,98.7,40.5,9.3,1276.4
telangana,2011,0.0,11.9,2.6,25.6,9.3,83.9,268.2,225.9,107.6,13.9,4.2,0.0,753.1
telangana,2012,6.7,0.0,0.2,14.0,8.4,124.4,300.3,229.9,202.4,83.6,38.7,0.0,1008.6
telangana,2013,2.4,29.0,0.2,24.4,8.5,213.4,453.8,230.6,161.4,205.9,16.4,2.7,1348.7
telangana,2014,0.2,2.9,58.3,10.3,73.3,62.3,146.0,205.2,146.8,29.6,10.8,0.7,746.4
uttarakhand,2000,29.9,69.4,37.9,18.1,83.3,313.9,420.1,536.1,195.3,1.1,7.0,0.7,1712.9
uttarakhand,2001,22.7,27.9,83.4,48.2,109.1,297.3,493.0,371.7,68.3,6.3,1.4,15.1,1544.4
uttarakhand,2002,53.8,123.2,100.0,76.3,82.3,139.6,205.7,465.4,301.3,19.9,3.0,4.2,1574.7
uttarakhand,2003,40.7,126.0,99.7,54.1,67.1,145.2,515.3,416.2,239.9,1.8,4.8,23.6,1734.3
uttarakhand,2004,58.5,11.7,0.0,51.5,66.0,130.7,400.9,326.3,96.8,70.7,0.8,5.7,1219.6
uttarakhand,2005,64.1,83.2,54.2,12.8,52.1,74.0,400.1,249.2,337.9,14.1,2.2,4.3,1348.2
uttarakhand,2006,48.7,9.6,71.7,52.2,120.5,104.2,345.6,294.7,79.1,18.8,6.8,27.0,1178.9
uttarakhand,2007,1.7,138.9,123.1,41.1,78.8,139.9,522.9,502.8,325.6,25.1,7.8,16.7,1924.3
uttarakhand,2008,55.6,11.7,18.1,93.0,67.3,332.4,313.3,245.8,190.8,23.1,11.9,0.6,1363.7
uttarakhand,2009,1.8,27.6,18.8,18.4,77.6,41.9,157.5,202.6,206.6,81.3,12.6,0.9,847.8
uttarakhand,2010,11.4,62.1,3.8,13.8,47.0,72.7,455.8,335.7,389.7,8.0,4.5,19.5,1424.0
uttarakhand,2011,30.9,65.2,18.0,30.9,84.2,223.1,433.3,523.7,148.4,3.4,1.2,2.3,1564.7
uttarakhand,2012,38.8,11.9,28.1,39.2,9.1,46.0,387.1,419.5,220.6,4.7,3.4,15.5,1223.9
uttarakhand,2013,73.0,188.3,22.0,24.7,18.2,488.9,413.4,359.4,111.3,29.1,3.2,3.8,1735.4
uttarakhand,2014,45.9,99.9,68.4,37.6,52.9,62.9,462.7,264.2,107.9,40.8,0.0,44.3,1287.4
madhya pradesh,2000,0.1,,0.1,0.1,30.1,93.4,320.5,136.2,31.6,1.2,0.0,0.2,
madhya pradesh,2001,2.1,0.0,1.1,6.0,16.4,203.6,269.2,198.9,27.5,62.2,0.0,0.0,787.0
madhya pradesh,2002,0.4,19.7,1.5,1.7,3.9,138.9,46.9,317.7,141.0,5.9,5.9,0.8,684.1
madhya pradesh,2003,1.1,21.1,0.1,1.0,0.3,128.7,307.5,228.0,254.9,0.9,0.2,2.5,946.4
madhya pradesh,2004,16.8,0.0,0.0,0.4,4.8,83.7,218.0,421.9,55.7,43.7,2.2,0.8,848.1
madhya pradesh,2005,13.7,3.1,12.3,6.1,1.9,81.2,345.7,130.5,155.1,1.3,0.0,1.4,752.2
madhya pradesh,2006,0.0,0.0,44.3,3.3,22.8,74.5,299.0,501.9,198.1,13.7,8.6,3.0,1169.2
madhya pradesh,2007,1.7,11.5,2.6,0.6,14.6,99.9,305.6,220.6,138.3,0.0,10.5,0.6,806.5
madhya pradesh,2008,0.4,0.0,2.5,2.5,3.8,194.2,221.8,205.8,139.7,12.9,7.5,0.0,791.1
madhya pradesh,2009,5.5,0.0,0.1,1.3,6.5,56.8,320.3,172.7,139.6,89.9,65.1,19.1,877.0
madhya pradesh,2010,2.2,5.4,0.8,0.1,0.4,62.2,258.5,291.5,136.1,13.6,4.6,0.8,776.3
madhya pradesh,2011,0.0,1.7,0.1,1.8,3.6,241.5,306.7,343.3,165.0,0.2,0.0,0.0,1063.9
madhya pradesh,2012,6.2,0.0,0.0,0.9,3.1,48.2,439.2,341.2,194.3,2.1,0.0,0.0,1035.2
madhya pradesh,2013,1.7,31.1,8.5,2.8,0.4,263.7,485.1,432.6,98.9,68.7,0.3,2.4,1396.3
madhya pradesh,2014,25.6,34.4,4.6,1.4,1.4,30.6,337.4,211.0,192.6,7.0,3.0,15.8,864.9
manipur,2000,22.5,26.1,129.1,214.2,403.6,325.4,269.2,465.0,298.3,185.2,24.2,1.1,2363.9
manipur,2001,1.5,46.9,38.8,83.6,313.8,478.0,322.6,263.0,269.0,266.4,65.4,0.2,2149.0
manipur,2002,18.6,3.9,62.7,143.8,438.7,351.6,462.2,358.4,225.7,98.9,71.9,6.0,2242.3
manipur,2003,3.8,11.5,78.0,158.9,265.6,590.9,262.4,281.7,288.4,175.1,5.1,40.9,2162.2
manipur,2004,4.8,2.7,11.0,341.5,211.0,449.2,558.6,284.3,351.0,132.7,6.4,0.5,2353.7
manipur,2005,6.4,15.0,118.6,98.1,237.0,212.3,301.5,334.8,292.6,194.3,15.6,10.5,1836.7
manipur,2006,0.6,12.4,5.5,111.1,382.2,445.6,335.0,241.6,231.1,90.4,13.0,3.7,1872.0
manipur,2007,7.9,54.7,28.7,220.4,276.7,446.3,430.0,373.8,426.6,180.5,82.6,10.1,2538.2
manipur,2008,30.7,13.8,49.6,54.9,200.8,327.4,333.3,358.6,223.7,150.2,4.7,1.2,1748.9
manipur,2009,0.0,3.2,27.5,93.1,209.5,271.9,295.8,380.9,271.3,158.2,26.1,0.2,1737.7
manipur,2010,1.0,7.9,85.8,161.5,294.0,411.6,367.5,393.2,309.8,220.2,9.2,33.5,2295.2
manipur,2011,12.6,3.6,51.4,81.1,334.9,374.2,313.3,367.6,258.3,92.6,2.4,0.2,1892.1
manipur,2012,24.5,10.2,20.3,243.5,163.5,396.2,280.1,342.7,248.7,160.9,32.0,0.4,1922.9
manipur,2013,0.2,5.7,19.7,60.3,348.9,206.6,255.9,291.3,241.4,125.6,0.3,1.2,1557.2
manipur,2014,1.2,21.0,25.4,49.6,192.5,268.3,295.7,372.3,300.9,69.6,3.3,0.1,1599.9
nagaland,2000,22.5,26.1,129.1,214.2,403.6,325.4,269.2,465.0,298.3,185.2,24.2,1.1,2363.9
nagaland,2001,1.5,46.9,38.8,83.6,313.8,478.0,322.6,263.0,269.0,266.4,65.4,0.2,2149.0
nagaland,2002,18.6,3.9,62.7,143.8,438.7,351.6,462.2,358.4,225.7,98.9,71.9,6.0,2242.3
nagaland,2003,3.8,11.5,78.0,158.9,265.6,590.9,262.4,281.7,288.4,175.1,5.1,40.9,2162.2
nagaland,2004,4.8,2.7,11.0,341.5,211.0,449.2,558.6,284.3,351.0,132.7,6.4,0.5,2353.7
nagaland,2005,6.4,15.0,118.6,98.1,237.0,212.3,301.5,334.8,292.6,194.3,15.6,10.5,1836.7
nagaland,2006,0.6,12.4,5.5,111.1,382.2,445.6,335.0,241.6,231.1,90.4,13.0,3.7,1872.0
nagaland,2007,7.9,54.7,28.7,220.4,276.7,446.3,430.0,373.8,426.6,180.5,82.6,10.1,2538.2
nagaland,2008,30.7,13.8,49.6,54.9,200.8,327.4,333.3,358.6,223.7,150.2,4.7,1.2,1748.9
nagaland,2009,0.0,3.2,27.5,93.1,209.5,271.9,295.8,380.9,271.3,158.2,26.1,0.2,1737.7
nagaland,2010,1.0,7.9,85.8,161.5,294.0,411.6,367.5,393.2,309.8,220.2,9.2,33.5,2295.2
nagaland,2011,12.6,3.6,51.4,81.1,334.9,374.2,313.3,367.6,258.3,92.6,2.4,0.2,1892.1
nagaland,2012,24.5,10.2,20.3,243.5,163.5,396.2,280.1,342.7,248.7,160.9,32.0,0.4,1922.9
nagaland,2013,0.2,5.7,19.7,60.3,348.9,206.6,255.9,291.3,241.4,125.6,0.3,1.2,1557.2
nagaland,2014,1.2,21.0,25.4,49.6,192.5,268.3,295.7,372.3,300.9,69.6,3.3,0.1,1599.9
mizoram,2000,22.5,26.1,129.1,214.2,403.6,325.4,269.2,465.0,298.3,185.2,24.2,1.1,2363.9
mizoram,2001,1.5,46.9,38.8,83.6,313.8,478.0,322.6,263.0,269.0,266.4,65.4,0.2,2149.0
mizoram,2002,18.6,3.9,62.7,143.8,438.7,351.6,462.2,358.4,225.7,98.9,71.9,6.0,2242.3
mizoram,2003,3.8,11.5,78.0,158.9,265.6,590.9,262.4,281.7,288.4,175.1,5.1,40.9,2162.2
mizoram,2004,4.8,2.7,11.0,341.5,211.0,449.2,558.6,284.3,351.0,132.7,6.4,0.5,2353.7
mizoram,2005,6.4,15.0,118.6,98.1,237.0,212.3,301.5,334.8,292.6,194.3,15.6,10.5,1836.7
mizoram,2006,0.6,12.4,5.5,111.1,382.2,445.6,335.0,241.6,231.1,90.4,13.0,3.7,1872.0
mizoram,2007,7.9,54.7,28.7,220.4,276.7,446.3,430.0,373.8,426.6,180.5,82.6,10.1,2538.2
mizoram,2008,30.7,13.8,49.6,54.9,200.8,327.4,333.3,358.6,223.7,150.2,4.7,1.2,1748.9
mizoram,2009,0.0,3.2,27.5,93.1,209.5,271.9,295.8,380.9,271.3,158.2,26.1,0.2,1737.7
mizoram,2010,1.0,7.9,85.8,161.5,294.0,411.6,367.5,393.2,309.8,220.2,9.2,33.5,2295.2
mizoram,2011,12.6,3.6,51.4,81.1,334.9,374.2,313.3,367.6,258.3,92.6,2.4,0.2,1892.1
mizoram,2012,24.5,10.2,20.3,243.5,163.5,396.2,280.1,342.7,248.7,160.9,32.0,0.4,1922.9
mizoram,2013,0.2,5.7,19.7,60.3,348.9,206.6,255.9,291.3,241.4,125.6,0.3,1.2,1557.2
mizoram,2014,1.2,21.0,25.4,49.6,192.5,268.3,295.7,372.3,300.9,69.6,3.3,0.1,1599.9
chandigarh,2000,17.1,29.1,1.4,1.3,22.8,58.9,146.8,87.9,17.5,0.0,0.4,1.2,384.4
chandigarh,2001,17.8,5.2,7.2,19.8,47.8,117.2,145.2,103.5,10.3,11.1,0.1,0.2,485.5
chandigarh,2002,11.6,31.1,9.0,1.1,52.0,21.2,19.4,78.2,123.0,1.9,0.0,8.8,357.2
chandigarh,2003,14.7,29.9,4.0,1.8,7.5,26.6,277.6,165.3,58.9,0.0,0.1,11.0,597.6
chandigarh,2004,25.4,0.3,0.0,18.1,40.7,52.5,19.9,252.9,22.1,54.1,0.0,1.2,487.3
chandigarh,2005,13.9,35.7,29.9,2.7,7.6,53.9,175.6,52.6,146.7,0.0,0.8,0.0,519.5
chandigarh,2006,2.3,0.1,30.4,0.6,24.8,45.4,135.2,32.1,49.9,3.8,1.2,5.2,330.9
chandigarh,2007,0.5,76.0,40.1,2.0,12.4,88.7,82.0,87.9,55.2,0.1,0.3,1.4,446.6
chandigarh,2008,2.4,0.4,0.6,13.4,72.9,193.5,124.3,174.2,114.5,8.4,5.5,0.2,710.4
chandigarh,2009,4.1,5.9,5.7,11.7,17.7,15.2,106.4,63.8,160.8,2.5,1.1,0.4,395.4
chandigarh,2010,4.8,10.2,0.5,0.8,5.9,29.1,189.3,198.5,183.9,1.1,3.5,12.8,640.5
chandigarh,2011,0.7,26.7,6.9,8.9,28.7,94.4,85.0,127.3,133.1,0.0,0.0,0.4,512.0
chandigarh,2012,8.2,0.2,0.1,11.8,3.8,5.3,68.1,196.6,90.7,2.4,0.6,3.5,391.4
chandigarh,2013,21.1,52.2,5.3,3.3,1.4,62.1,96.5,161.9,42.8,10.9,1.7,2.1,461.2
chandigarh,2014,13.0,17.3,26.8,7.5,20.3,25.9,72.3,34.8,67.3,10.5,0.2,9.6,305.5
dadra and nagar haveli,2000,0.0,0.1,0.0,0.0,36.1,62.9,301.1,133.0,13.5,0.2,0.0,3.6,550.6
dadra and nagar haveli,2001,6.1,0.0,0.0,0.2,2.1,216.9,320.0,256.8,17.8,28.9,0.2,0.0,849.0
dadra and nagar haveli,2002,4.1,0.0,0.1,0.0,0.0,234.2,45.8,238.5,113.7,0.6,0.1,0.1,637.2
dadra and nagar haveli,2003,0.0,6.1,0.1,0.0,0.0,209.3,518.7,314.6,109.5,1.9,0.0,0.0,1160.3
dadra and nagar haveli,2004,0.0,0.0,0.0,0.0,4.4,135.5,238.2,553.7,51.8,22.2,0.0,0.0,1005.8
dadra and nagar haveli,2005,0.0,0.0,0.0,0.0,0.3,367.3,378.7,229.4,339.2,1.4,0.0,0.0,1316.4
dadra and nagar haveli,2006,0.0,0.0,0.8,0.0,0.2,123.5,576.0,624.8,140.6,9.2,2.9,0.0,1478.0
dadra and nagar haveli,2007,0.1,0.4,0.0,0.0,0.3,94.0,567.8,345.6,169.4,0.0,1.4,0.0,1178.9
dadra and nagar haveli,2008,0.0,0.0,0.0,3.1,0.1,58.2,261.9,369.5,204.3,11.6,0.1,2.3,911.1
dadra and nagar haveli,2009,0.0,0.0,0.3,0.0,0.0,17.0,390.3,143.5,54.9,27.4,8.1,0.0,641.6
dadra and nagar haveli,2010,0.2,0.0,0.0,0.0,0.0,59.3,328.2,431.0,216.6,12.2,41.0,0.2,1088.7
dadra and nagar haveli,2011,0.0,0.2,0.0,0.0,0.0,16.3,259.2,451.7,162.5,0.4,0.0,0.0,890.5
dadra and nagar haveli,2012,0.1,0.0,0.0,0.0,0.0,34.4,178.2,230.3,263.8,7.1,0.0,0.0,714.0
dadra and nagar haveli,2013,0.0,0.9,0.1,4.6,0.0,155.7,405.4,211.1,287.3,53.2,0.1,0.0,1118.6
dadra and nagar haveli,2014,5.7,0.1,0.2,1.0,1.3,11.6,307.5,138.6,235.1,3.3,1.3,0.0,705.7